file,group,NavigationLink,Form,List,ScrollView,Button,Toggle,Picker,Slider,TextField,ForEach,GeometryReader,ZStack,VStack,HStack,@EnvironmentObject,@ObservedObject,sheet(,fullScreenCover,alert(
Settings/Scenes/Widgets/Widget/Effects/AnamorphicLensEffectView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Effects/Dewarp360EffectView.swift,Settings,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Effects/LutEffectView.swift,Settings,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0
Settings/Scenes/Widgets/Widget/Effects/OpacityEffectView.swift,Settings,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Effects/RemoveBackgroundEffectView.swift,Settings,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Effects/ShapeEffectView.swift,Settings,0,0,0,0,0,1,1,2,0,0,1,1,0,2,0,3,0,0,0
Settings/Scenes/Widgets/Widget/Effects/WidgetEffectsView.swift,Settings,1,1,0,0,2,1,1,0,0,2,0,0,0,1,1,2,0,0,0
Settings/Scenes/Widgets/Widget/Image/WidgetImageSettingsView.swift,Settings,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Settings/Scenes/Widgets/Widget/Map/WidgetMapSettingsView.swift,Settings,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
Settings/Scenes/Widgets/Widget/PngTuber/WidgetPngTuberSettingsView.swift,Settings,1,0,0,0,1,1,16,2,0,0,0,0,0,3,1,2,1,0,0
Settings/Scenes/Widgets/Widget/QrCode/WidgetQrCodeSettingsView.swift,Settings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Settings/Scenes/Widgets/Widget/Scene/WidgetSceneSettingsView.swift,Settings,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Settings/Scenes/Widgets/Widget/Scoreboard/WidgetScoreboardGenericSettingsView.swift,Settings,0,1,0,0,20,0,5,0,0,1,0,0,4,3,0,6,0,0,0
Settings/Scenes/Widgets/Widget/Scoreboard/WidgetScoreboardModularSettingsView.swift,Settings,2,3,0,0,0,5,4,2,0,2,0,0,0,3,0,4,0,0,0
Settings/Scenes/Widgets/Widget/Scoreboard/WidgetScoreboardPadelSettingsView.swift,Settings,1,0,1,0,7,0,2,0,0,2,0,0,1,3,2,7,0,0,0
Settings/Scenes/Widgets/Widget/Scoreboard/WidgetScoreboardSettingsView.swift,Settings,1,1,0,0,4,0,4,0,0,1,0,0,0,0,0,5,0,0,0
Settings/Scenes/Widgets/Widget/Slideshow/WidgetSlideshowSettingsView.swift,Settings,1,1,0,0,2,0,4,0,0,2,0,0,0,1,1,6,0,0,0
Settings/Scenes/Widgets/Widget/Snapshot/WidgetSnapshotSettingsView.swift,Settings,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Text/WidgetTextSettingsView.swift,Settings,11,26,0,0,21,4,20,2,2,19,0,0,8,15,4,7,1,0,0
Settings/Scenes/Widgets/Widget/VTuber/WidgetVTuberSettingsView.swift,Settings,1,0,0,0,1,1,16,3,0,0,0,0,0,4,1,2,1,0,0
Settings/Scenes/Widgets/Widget/VideoSource/WidgetVideoSourceSettingsView.swift,Settings,1,0,0,0,1,2,2,1,0,0,0,0,0,2,1,2,0,0,1
Settings/Scenes/Widgets/Widget/WheelOfLuck/WidgetWheelOfLuckSettingsView.swift,Settings,1,1,0,0,6,1,1,0,2,2,0,0,0,2,0,5,0,0,0
Settings/Scenes/Widgets/Widget/WidgetSettingsView.swift,Settings,0,1,0,0,4,1,2,0,0,0,0,0,3,8,1,5,0,0,0
Settings/Scenes/Widgets/Widget/WidgetWizardSettingsView.swift,Settings,2,2,0,0,4,0,1,0,1,2,0,0,0,1,0,7,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardBingoCardSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardBrowserSettingsView.swift,Settings,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardImageSettingsView.swift,Settings,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardPngTuberSettingsView.swift,Settings,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardSlideshowSettingsView.swift,Settings,1,2,0,0,2,0,2,0,0,1,0,0,0,0,0,6,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardTextSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardVTuberSettingsView.swift,Settings,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardVideoSourceSettingsView.swift,Settings,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0
Settings/Scenes/Widgets/Widget/Wizard/WidgetWizardWheelOfLuckSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Scenes/Widgets/WidgetsSettingsView.swift,Settings,1,0,0,0,3,1,0,0,0,1,0,0,1,1,2,3,1,0,0
Settings/SelfieStick/SelfieStickSettingsView.swift,Settings,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0
Settings/SettingsView.swift,Settings,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/Store/StoreSettingsView.swift,Settings,0,1,1,0,17,0,1,0,0,2,0,1,0,2,3,3,0,0,0
Settings/StreamingHistory/StreamingHistorySettingsView.swift,Settings,1,1,1,0,1,0,0,0,0,1,0,0,5,1,0,2,0,0,0
Settings/StreamingHistory/StreamingHistoryStreamSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Settings/Streams/Stream/Audio/StreamAudioSettingsView.swift,Settings,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0
Settings/Streams/Stream/Chat/StreamEmotesSettingsView.swift,Settings,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Settings/Streams/Stream/GoLiveNotification/GoLiveNotificationSettingsView.swift,Settings,1,2,0,0,1,0,0,0,2,0,0,0,1,0,0,3,0,0,0
Settings/Streams/Stream/Kick/StreamKickSettingsView.swift,Settings,4,3,0,0,5,6,2,0,1,1,0,0,0,3,3,5,1,0,0
Settings/Streams/Stream/MultiStreaming/StreamMultiStreamingSettingsView.swift,Settings,3,2,1,0,2,1,0,0,0,1,0,0,1,1,2,4,0,0,0
Settings/Streams/Stream/ObsRemoteControl/StreamObsRemoteControlSettingsView.swift,Settings,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/Streams/Stream/OpenStreamingPlatform/StreamOpenStreamingPlatformSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Settings/Streams/Stream/RealtimeIrl/StreamRealtimeIrlSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/Streams/Stream/Recording/StreamRecordingAudioSettingsView.swift,Settings,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
Settings/Streams/Stream/Recording/StreamRecordingSettingsView.swift,Settings,4,2,0,0,2,4,14,0,0,2,0,0,1,1,4,5,1,0,0
Settings/Streams/Stream/Replay/StreamReplaySettingsView.swift,Settings,1,3,0,0,3,2,16,0,0,2,0,0,3,7,1,4,2,0,0
Settings/Streams/Stream/Rist/StreamRistSettingsView.swift,Settings,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Settings/Streams/Stream/Rtmp/StreamRtmpSettingsView.swift,Settings,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Settings/Streams/Stream/Snapshot/StreamSnapshotSettingsView.swift,Settings,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0
Settings/Streams/Stream/Soop/StreamSoopSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Settings/Streams/Stream/Srt/StreamSrtAdaptiveBitrateSettingsView.swift,Settings,0,1,0,0,0,0,1,9,0,1,0,0,3,1,0,2,0,0,0
Settings/Streams/Stream/Srt/StreamSrtConnectionPriority2View.swift,Settings,0,2,0,0,1,2,0,1,0,1,0,0,1,1,2,1,0,0,0
Settings/Streams/Stream/Srt/StreamSrtSettingsView.swift,Settings,2,3,0,0,0,3,2,0,0,2,0,0,1,0,1,1,0,0,0
Settings/Streams/Stream/StreamSettingsView.swift,Settings,21,2,0,0,0,5,0,0,0,0,0,0,0,5,1,4,0,0,0
Settings/Streams/Stream/StreamWizardSettingsView.swift,Settings,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Streams/Stream/Twitch/StreamTwitchSettingsView.swift,Settings,4,3,0,0,5,7,2,0,1,1,0,0,0,3,2,2,0,0,0
